disc_number;duration_ms;explicit;track_number;track_popularity;track_id;track_name;audio_features_danceability;audio_features_energy;audio_features_key;audio_features_loudness;audio_features_mode;audio_features_speechiness;audio_features_acousticness;audio_features_instrumentalness;audio_features_liveness;audio_features_valence;audio_features_tempo;audio_features_id;audio_features_time_signature;album_id;album_name;album_release_date;album_total_tracks
1;174782;FALSO;6;70;4eKMqf9ZMSclDX7V9Ptg7x;Midnight Rain;654;372;0;-11704;1;667;705;0.00678;114;198;14015;4eKMqf9ZMSclDX7V9Ptg7x;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;210556;VERDADERO;7;68;7oomkQSYf1ia2VnVEWfFIU;Question...?;741;509;70;-8747;1;19;205;0;262;113;108978;7oomkQSYf1ia2VnVEWfFIU;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;164801;VERDADERO;8;69;0GKDhq6ZbmSbRHd3eyGlB7;Vigilante Shit;867;272;40;-11014;0;363;157;0.00342;118;157;79962;0GKDhq6ZbmSbRHd3eyGlB7;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;194165;FALSO;9;70;0VpF6RLdCfPIeYRwMu4tZK;Bejeweled;695;546;70;-9184;1;66;648;128;883;425;1640;0VpF6RLdCfPIeYRwMu4tZK;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;247962;FALSO;10;68;4bBDkw2KBMX0tcgAaXC83Q;Labyrinth;493;308;0;-15489;1;436;804;328;123;13;109993;4bBDkw2KBMX0tcgAaXC83Q;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;204852;VERDADERO;11;-69;45R112Jz5hQeKgITXgSXzs;Karma;647;614;80;-7091;1;651;782;0;611;956;90034;45R112Jz5hQeKgITXgSXzs;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;188496;FALSO;12;67;2L09RYwH5Pjzca6PmbUAw3;Sweet Nothing;335;166;0;-14958;1;48;967;12;115;391;175917;2L09RYwH5Pjzca6PmbUAw3;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;191039;FALSO;13;68;1QQii3pa5m8MEda0nbkjfw;;661;345;40;-14037;1;144;545;915;871;126;125977;1QQii3pa5m8MEda0nbkjfw;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;240355;FALSO;14;69;2VuqMjgoKaOHNM8HpxtXKx;The Great War;573;737;50;-9002;1;352;203;0.00278;851;592;96009;2VuqMjgoKaOHNM8HpxtXKx;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;218502;FALSO;15;68;71CBDRKmF2VeRKYMG1DFBh;Bigger Than The Whole Sky;48;22;60;-12469;1;425;837;269;116;633;82951;71CBDRKmF2VeRKYMG1DFBh;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;196258;FALSO;16;67;5tWxKWq1DSP1s9WQ5PWuqu;Paris;691;498;70;-10519;1;101;116;0.00307;136;454;110963;5tWxKWq1DSP1s9WQ5PWuqu;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;231475;FALSO;17;66;1SztNGCwEHJEVFx90E5g7D;High Infidelity;564;545;100;-1017;1;104;726;0;878;766;176082;1SztNGCwEHJEVFx90E5g7D;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;148781;FALSO;18;65;7C0w28EsX0Um2FrZs9gso2;Glitch;677;451;110;-9744;0;19;318;0;11;399;140845;7C0w28EsX0Um2FrZs9gso2;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
"1,260361,False,19,68,4txojlesMFQZGWxwz2EeqB,""Would've, Could've, Should've"",0.482,0.837,0.0,-6.501,1,0.12,0.435,0.00147,0.123,0.534,157.96,4txojlesMFQZGWxwz2EeqB,4.0,1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2027-05-26,24";;;;;;;;;;;;;;;;;;;;;;;
1;225194;FALSO;20;66;10GRRCR5fctuOF4GFmATJI;Dear Reader;475;386;0;-12038;1;737;497;104;119;162;107601;10GRRCR5fctuOF4GFmATJI;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;234466;VERDADERO;21;82;3xYJScVfxByb61dYHTwiby;Hits Different;672;782;50;-6499;1;421;148;0.000473;296;239;106026;3xYJScVfxByb61dYHTwiby;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;229942;VERDADERO;22;82;4zmKGsrXjLmljb5fTaBTot;Snow On The Beach (feat. More Lana Del Rey);664;401;60;-10934;0;344;806;0.000035;108;315;109846;4zmKGsrXjLmljb5fTaBTot;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;201493;VERDADERO;23;74;4i6cwNY6oIUU2XZxPIw82Y;Karma (feat. Ice Spice);615;616;80;-6523;1;622;623;0;579;734;89977;4i6cwNY6oIUU2XZxPIw82Y;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
